# Bài 7
吃 | chī | ăn
食堂 | shítáng | canteen, nhà ăn
饭 | fàn | bữa ăn, cơm
馒头 | mántou | màn thầu, bánh bao chay
米 | mǐ | gạo
米饭 | mǐfàn | cơm trắng
要 | yào | cần, muốn
碗 | wǎn | cái chén, cái bát
鸡 | jī | gà
蛋 | dàn | trứng
鸡蛋 | jīdàn | trứng gà
汤 | tāng | canh
酒 | jiǔ | rượu
啤酒 | píjiǔ | bia
些 | xiē | vài, những
这些 | zhèxiē | những...này
那些 | nàxiē | những...kia
一些 | yìxiē | một số
饺子 | jiǎozi | bánh chẻo, há cảo
包子 | bāozi | bánh bao
面条 | miàntiáor | mì sợi
一个人 | yí gè rén | một con người
一本书 | yì běn shū | một quyển sách
一只狗 | yì zhī gǒu | một con chó
凌晨 | líng chén | rạng sáng
早晨 | zǎo chén | sáng sớm
早上 | zǎo shang | buổi sáng
上午 | shàng wǔ | buổi sáng # trước trưa
中午 | zhōng wǔ | buổi trưa
下午 | xià wǔ | buổi chiều
晚上 | wǎn shang | buổi tối
