# Bài 8
买 | mǎi | mua
卖 | mài | bán
买卖 | mǎimài | buôn bán
水果 | shuǐguǒ | trái cây
苹果 | píngguǒ | táo
橘子 | júzi | quýt
香蕉 | xiāngjiāo | chuối
梨 | lí | lê
葡萄 | pútao | nho
桃 | táo | đào
西瓜 | xīguā | dưa hấu
草莓 | cǎoméi | dâu
斤 | jīn | cân, nửa kí
公斤 | gōngjīn | kg, kí
贵 | guì | mắc, đắt
便宜 | piányi | rẻ
了 | le | trợ từ  
吧 | ba | trợ từ ngữ khí # đề nghị, rủ (đi, thôi, nhé)
多 | duō | nhiều
少 | shǎo | ít
多少 | duōshao | bao nhiêu?
几 | jǐ | mấy
块 | kuài | tệ # khẩu ngữ
元 | yuán | tệ # văn viết
还 | hái | còn, vẫn còn
别的 | biéde | khác, cái khác
怎么 | zěnme | thế nào?
一共 | yígòng | tổng cộng
一共有 | yígòngyǒu | tổng cộng có
两 | liǎng | hai
两个人 | liǎng gè rén | 2 con người
给 | gěi | đưa, cho
找 | zhǎo | tìm, thối tiền thừa
