# Bài 10
办公室 | bàngōngshì | văn phòng
办公 | bàngōng | làm việc # ở cơ quan/văn phòng
职员 | zhíyuán | nhân viên, viên chức
找 | zhǎo | tìm, kiếm
在 | zài | ở, có mặt ở
家 | jiā | nhà, gia đình
呢 | ne | nè
住 | zhù | sống ở, cư trú ở
楼 | lóu | tầng, tòa nhà
门 | mén | cửa
房间 | fángjiān | phòng
电 | diàn | điện
话 | huà | lời nói
电话 | diànhuà | điện thoại
手 | shǒu | tay
机 | jī | máy móc
手机 | shǒujī | điện thoại di động
号 | hào | số, ngày
号码 | hàomǎ | số, mã số
知道 | zhīdào | biết thông tin
会 | huì | biết kỹ năng, có thể
