# Bài 11
秘书 | mìshū | thư kí
先 | xiān | trước, trước tiên
介绍 | jièshào | giới thiệu
一下儿 | yíxiàr | một chút, một ít
位 | wèi | chỉ người, thể hiện sự tôn trọng
教授 | jiàoshòu | giáo sư
校长 | xiàozhǎng | hiệu trưởng
欢迎 | huānyíng | hoan nghênh
欢迎光临 | huānyíng guānglín | hoan nghênh đã đến
留学 | liúxué | du học, lưu học
留学生 | liúxuéshēng | du học sinh, lưu học sinh
也 | yě | cũng
都 | dōu | đều
俩 | liǎ | hai
学生 | xuéshēng | học sinh, sinh viên
没什么 | méi shénme | không có gì
月 | yuè | tháng
号 | hào | ngày # khẩu ngữ
日 | rì | ngày # văn viết
年 | nián | năm
大夫 | dàifu | bác sĩ # khẩu ngữ
护士 | hùshi | y tá, điều dưỡng
经理 | jīnglǐ | giám đốc, quản lý
律师 | lǜshī | luật sư
记者 | jìzhě | phóng viên
