# Bài 12
语言 | yǔyán | ngôn ngữ
大学 | dàxué | đại học
小学 | xiǎoxué | tiểu học
初中 | chūzhōng | trung học cơ sở, cấp 2
高中 | gāozhōng | trung học phổ thông, cấp 3
中学 | zhōngxué | trung học
怎么样 | zěnmeyàng | như thế nào?
觉得 | juéde | cảm thấy, cho rằng
语法 | yǔfǎ | ngữ pháp
和 | hé | và
听 | tīng | nghe # VD: 听音乐 tīng yīnyuè
说 | shuō | nói # VD: 说汉语 shuō Hànyǔ
读 | dú | đọc
写 | xiě | viết # VD: 写汉字 xiě Hànzì
比较 | bǐjiào | tương đối
容易 | róngyì | dễ
读书 | dúshū | đọc sách, học hành, đi học
看书 | kànshū | đọc sách, xem sách
但是 | dànshì | nhưng
给 | gěi | tới, cho
同学 | tóngxué | bạn cùng lớp, bạn học
同屋 | tóngwū | bạn cùng phòng
新 | xīn | mới
旧 | jiù | cũ
班 | bān | lớp
