# Bài 13
有 | yǒu | có
还没 | hái méi | chưa, vẫn chưa # dạng rút gọn của 还没有
还没有 | hái méiyǒu | chưa, vẫn chưa # dạng đầy đủ
箱子 | xiāngzi | cái hộp, rương
茶叶 | cháyè | lá chè, lá trà
重 | zhòng | nặng
轻 | qīng | nhẹ
黑 | hēi | đen
红 | hóng | đỏ
药 | yào | thuốc
中药 | zhōngyào | thuốc đông y, thuốc bắc
西药 | xīyào | thuốc tây
这儿 | zhèr | ở đây
里 | lǐ | trong, bên trong
件 | jiàn | dùng cho
衣服 | yīfu | quần áo
把 | bǎ | dùng cho những vật có tay cầm
雨 | yǔ | mưa
雨伞 | yǔsǎn | cây dù, cái ô
瓶 | píng | bình, lọ, chai
香水 | xiāngshuǐ | nước hoa
本 | běn | quyển, cuốn
词典 | cídiǎn | từ điển
张 | zhāng | dùng cho vật mỏng, mảnh
光盘 | guāngpán | đĩa CD, DVD
支 | zhī | chiếc, cái
笔 | bǐ | cây viết, cây bút
