# Bài 14
经理 | jīnglǐ | giám đốc
好久 | hǎojiǔ | đã lâu, rất lâu rồi
好久不见 | hǎojiǔ bújiàn | đã lâu không gặp
马马虎虎 | mǎmǎhūhū | bình thường, tạm
马虎 | mǎhū | đại khái, qua loa
最近 | zuìjìn | gần đây, dạo này
刚 | gāng | vừa mới
开 | kāi | mở
开学 | kāixué | khai giảng
关 | guān | đóng
点儿 | diǎnr | một chút
还是 | háishì | hay là # dùng trong câu hỏi lựa chọn
咖啡 | kāfēi | cà phê
杯 | bēi | ly, cốc
车 | chē | xe
自行车 | zìxíngchē | xe đạp
汽车 | qìchē | xe hơi, ô tô
摩托车 | mótuōchē | xe máy
出租车 | chūzūchē | xe taxi
颜色 | yánsè | màu sắc
蓝 | lán | xanh lam
辆 | liàng | chiếc (dùng cho xe cộ )
啊 | à | trợ từ cảm thán # dùng ở cuối câu
