# Bài 16
现在 | xiànzài | bây giờ, hiện tại
跟 | gēn | cùng, với # cấu trúc A 跟 B (一起) + V
一起 | yìqǐ | cùng, cùng nhau
咱们 | zánmen | chúng ta # gồm cả người nghe; khác 我们 (có thể là "chúng tôi")
走 | zǒu | đi # không cần đích đến (走吧!), khác 去 phải có nơi đến
常常 | chángcháng | thường, thường xuyên # 常常 + V, phủ định: 不常 + V
有时候 | yǒu shíhou | có lúc, thỉnh thoảng
时候 | shíhou | lúc, khi # 什么时候 = khi nào, …的时候 = lúc làm gì đó
借 | jiè | mượn # A 借 B = A mượn B; A 借给 B = A cho B mượn
上网 | shàngwǎng | lên mạng
网 | wǎng | mạng, lưới
查 | chá | tra, tra cứu
资料 | zīliào | tư liệu, tài liệu
总是 | zǒngshì | luôn, luôn luôn
安静 | ānjìng | yên tĩnh, yên lặng
晚上 | wǎnshang | buổi tối
复习 | fùxí | ôn tập
课文 | kèwén | bài khóa
预习 | yùxí | chuẩn bị bài trước
生词 | shēngcí | từ mới
或者 | huòzhě | hoặc, hoặc là # dùng trong câu trần thuật; khác 还是 (câu hỏi lựa chọn)
还是 | háishi | hay là # dùng cho câu hỏi lựa chọn
练习 | liànxí | luyện tập, bài tập
聊天儿 | liáotiānr | tán gẫu, nói chuyện phiếm
收发 | shōufā | nhận và gửi (thư từ, công văn)
收 | shōu | nhận
发 | fā | gửi, phát
伊妹儿 | yīmèir | e-mail
电影 | diànyǐng | phim, điện ảnh
电视 | diànshì | tivi
电视剧 | diànshìjù | phim truyền hình
休息 | xiūxi | nghỉ ngơi
宿舍 | sùshè | kí túc xá
公园 | gōngyuán | công viên
超市 | chāoshì | siêu thị
东西 | dōngxi | đồ, đồ vật
很少 | hěn shǎo | rất ít khi # 很少 + V (trạng ngữ tần suất); lưu ý 很多 KHÔNG dùng làm trạng ngữ
奶茶 | nǎichá | trà sữa
