# Bài 20
前年 | qiánnián | năm trước nữa
去年 | qùnián | năm ngoái
今年 | jīnnián | năm nay
明年 | míngnián | năm sau
后年 | hòunián | năm sau nữa
毕业 | bìyè | tốt nghiệp # cấp học + 毕业 = đã tốt nghiệp cấp học đó, VD: 大学毕业
多 | duō | bao nhiêu # 多 + tính từ đơn âm tiết để hỏi mức độ, VD: 长城多长
多大 | duōdà | bao lớn, bao nhiêu tuổi
岁 | suì | tuổi
狗 | gǒu | con chó # bộ "khuyển" 犭
月 | yuè | tháng
号 | hào | ngày # lượng từ chỉ ngày trong tháng; khẩu ngữ, 日 dùng trong văn viết
属 | shǔ | thuộc, cầm tinh (12 con giáp) # bộ "thi" 尸; VD: 你属什么？
生日 | shēngrì | sinh nhật
正好 | zhènghǎo | vừa hay, vừa khéo, vừa vặn
打算 | dǎsuan | dự định, dự tính
过 | guò | trải qua, đón, ăn (+ lễ, tết, sinh nhật, kỉ niệm) # trợ từ 过 = từng, đã từng (đứng sau động từ), VD: 他去年来过北京
准备 | zhǔnbèi | chuẩn bị
举行 | jǔxíng | tổ chức, cử hành
晚会 | wǎnhuì | dạ hội, liên hoan đêm
参加 | cānjiā | tham gia
时间 | shíjiān | thời gian
点 | diǎn | giờ
点钟 | diǎnzhōng | giờ đúng
就 | jiù | liền, bèn, thì, ngay
一定 | yídìng | nhất định
祝 | zhù | chúc # bộ "kỳ" 礻
快乐 | kuàilè | vui vẻ # 祝你生日快乐 = chúc bạn sinh nhật vui vẻ
春节 | chūnjié | Tết âm lịch
圣诞节 | shèngdànjié | Noel, Giáng sinh
中秋节 | zhōngqiūjié | Tết Trung Thu
过年 | guònián | ăn Tết, đón năm mới
鼠 | shǔ | chuột
牛 | niú | trâu
虎 | hǔ | hổ
兔 | tù | thỏ
龙 | lóng | rồng
蛇 | shé | rắn
马 | mǎ | ngựa
羊 | yáng | dê
猴 | hóu | khỉ
鸡 | jī | gà
猪 | zhū | lợn, heo
