# Bài 22
叫 | jiào | kêu, gọi, bảo
让 | ràng | để, để cho, nhường
大家 | dàjiā | mọi người # đại từ
谈 | tán | nói, nói chuyện, bàn
谈恋爱 | tán liàn'ài | yêu đương, hẹn hò # không liên quan đến "nói"
自己 | zìjǐ | mình, bản thân # đại từ
爱好 | àihào | sở thích # danh từ / động từ
京剧 | jīngjù | kinh kịch, hí kịch # danh từ
唱 | chàng | hát # động từ; 唱歌 = hát
喜欢 | xǐhuan | thích
非常 | fēicháng | vô cùng, rất # phó từ
玩 | wán | chơi
玩游戏 | wán yóuxì | chơi trò chơi, chơi game
电脑 | diànnǎo | máy tính # danh từ; lượng từ 台 (tái)
笔记本电脑 | bǐjìběn diànnǎo | laptop, máy tính xách tay
下课 | xiàkè | tan học
感到 | gǎndào | cảm thấy # cảm nhận do ngoại cảnh tác động
觉得 | juéde | cảm thấy, cho rằng # quan điểm/nhận xét dựa vào suy nghĩ
心情 | xīnqíng | tâm trạng # danh từ
愉快 | yúkuài | vui vẻ # tính từ; thiên về cảm giác bên trong, thường văn viết
高兴 | gāoxìng | vui vẻ, phấn khởi # tính từ / động từ; lặp AABB 高高兴兴
开心 | kāixīn | vui vẻ, hài lòng; (đt) chọc ghẹo, đùa cợt # tính từ / động từ; 别拿他开心
对 | duì | đối với, với # giới từ; A 对 B + tính từ/động từ (他对我很好)
业余 | yèyú | nghiệp dư, ngoài giờ # danh từ; 业余时间 = thời gian rảnh
书法 | shūfǎ | thư pháp
特别 | tèbié | đặc biệt # phó từ
就 | jiù | đã, thì, liền # phó từ
以前 | yǐqián | trước đây, trước khi
兴趣 | xìngqù | hứng thú # danh từ
感兴趣 | gǎn xìngqù | cảm thấy hứng thú, có hứng thú # A 对 B 感兴趣
派 | pài | phái, cử # động từ; 公司派我去中国
画 | huà | vẽ # động từ
画儿 | huàr | tranh, bức tranh # danh từ; 画画儿 = vẽ tranh
游戏 | yóuxì | trò chơi, game # danh từ
幸福 | xìngfú | hạnh phúc # tính từ
累 | lèi | mệt, mệt mỏi # tính từ
